,number_of_episodes,weight_history,noise_history,number_of_steps,perf_tracker
150,151,"[[0.67606611 0.97664094]
 [1.78652038 1.00998243]
 [1.13327129 1.69167127]
 [1.37040989 0.83344153]]",2.0,1355,49.0
151,152,"[[1.67440267 1.85709124]
 [1.12240739 0.7507442 ]
 [0.92134657 0.72003325]
 [0.39041809 0.16191586]]",2.0,1362,55.0
152,153,"[[1.96290516 0.39031853]
 [1.70851844 1.69006883]
 [0.75350205 0.27873954]
 [0.23408864 2.06096646]]",2.0,1364,57.0
153,154,"[[0.76913093 1.86825987]
 [1.27173472 0.21451682]
 [0.38399688 0.97755734]
 [0.0410971  0.14013187]]",2.0,1365,10.0
154,155,"[[1.13944728 1.7233255 ]
 [1.14208232 0.81682478]
 [0.05802073 1.75720882]
 [1.24445627 1.97613526]]",2.0,1367,46.0
155,156,"[[0.40415363 0.34616418]
 [0.99836418 0.10673264]
 [0.65094565 1.61503891]
 [0.83461568 0.65808859]]",2.0,1407,100.0
156,157,"[[1.30681614 0.81994352]
 [0.66811449 1.3392436 ]
 [1.38102823 0.06383209]
 [1.06032849 0.72942393]]",2.0,1418,56.0
157,158,"[[0.14270294 1.29277636]
 [0.20855667 0.59777598]
 [0.32401584 1.54864627]
 [1.98092618 0.63901558]]",2.0,1421,115.0
158,159,"[[1.66073457 1.13393869]
 [1.42877871 0.32769621]
 [0.81369954 1.73766883]
 [0.54888666 1.42819335]]",2.0,1422,58.0
159,160,"[[1.69534939 0.96557648]
 [0.95919342 1.0811863 ]
 [0.88274928 0.38224635]
 [0.44292581 1.27506804]]",2.0,1429,62.0
160,161,"[[1.22834834 1.00830982]
 [1.69650985 0.46093644]
 [1.69953838 0.77722243]
 [1.57180596 0.50375465]]",2.0,1436,71.0
161,162,"[[0.18005486 1.36396528]
 [1.70918212 0.63289075]
 [0.90528178 1.63257663]
 [0.64134887 1.15798969]]",2.0,1439,32.0
162,163,"[[1.12974435 0.11889058]
 [1.66246258 0.86343422]
 [1.72342612 0.38085624]
 [0.62622263 1.89454064]]",2.0,1448,30.0
163,164,"[[1.9136692  0.05879563]
 [0.72435476 0.72327183]
 [0.26758919 1.54237861]
 [1.84155521 1.16712593]]",2.0,1463,27.0
164,165,"[[1.85374371 1.35239377]
 [1.77833786 1.79104732]
 [1.855325   1.87099674]
 [1.22457375 2.05712639]]",2.0,1466,44.0
165,166,"[[0.52389443 0.62690457]
 [1.88676573 1.59388827]
 [0.9393729  1.32278202]
 [0.29688425 0.39651003]]",2.0,1468,39.0
166,167,"[[1.01019041 0.88971304]
 [0.9968054  0.34103782]
 [1.22813912 1.27012213]
 [1.82971232 1.0998052 ]]",2.0,1475,36.0
167,168,"[[1.13577223 0.23275279]
 [1.502874   0.39026775]
 [1.44736722 0.7237004 ]
 [0.53352032 0.97894314]]",2.0,1477,56.0
168,169,"[[0.22783173 0.16534814]
 [1.27147036 1.25729576]
 [1.7734682  1.4559161 ]
 [1.71146541 1.31785626]]",2.0,1492,29.0
169,170,"[[0.08935803 0.12873768]
 [0.71250212 1.336565  ]
 [0.82725072 1.91668169]
 [1.37757584 0.57945157]]",2.0,1498,30.0
