number_of_episodes,weight_history,noise_history,number_of_steps,perf_tracker
102,"[[1.94252874 0.93771595]
 [1.13737295 0.7648437 ]
 [0.78634681 1.52939497]
 [0.59839089 2.0004829 ]]",2.0,540,9.0
103,"[[0.05110792 0.38859993]
 [0.50762236 1.44818104]
 [1.46249049 1.25593594]
 [1.93521919 1.56629167]]",2.0,541,12.0
104,"[[1.26580823 0.20671798]
 [0.16965717 1.59723625]
 [0.25520824 1.88061141]
 [0.99415565 1.03494618]]",2.0,541,12.0
105,"[[0.67769784 0.08246834]
 [1.33235984 0.07172216]
 [0.42211712 1.68237706]
 [0.85580072 1.09646073]]",2.0,541,12.0
106,"[[1.76349473 0.88398273]
 [1.29524182 1.18944985]
 [0.76560197 0.57666669]
 [1.63797452 1.11988386]]",2.0,542,11.0
107,"[[1.40291812 1.62990266]
 [1.63206053 0.32739414]
 [0.30809488 1.16665196]
 [0.56932756 1.48662288]]",2.0,543,12.0
108,"[[0.13138338 0.10580416]
 [1.10010037 1.20201706]
 [1.42194161 1.95943058]
 [0.68176232 1.18676653]]",2.0,543,12.0
109,"[[0.29125556 1.07843644]
 [1.19859576 1.33889499]
 [1.82578197 2.2561281 ]
 [1.17995012 1.40445803]]",1.0,1036,500.0
110,"[[0.65074423 1.20358718]
 [1.29781966 1.4460508 ]
 [1.850438   2.58226398]
 [1.36423768 1.65256264]]",0.5,1038,500.0
111,"[[0.805965   1.37202378]
 [1.33330121 1.65841256]
 [1.88962834 2.63279996]
 [1.56581393 1.89008824]]",0.25,1040,500.0
112,"[[0.86090657 1.4293388 ]
 [1.40458839 1.67892419]
 [1.9768381  2.73370718]
 [1.6271128  1.92390562]]",0.125,1040,500.0
113,"[[0.90913363 1.46713568]
 [1.42777979 1.7239609 ]
 [2.01716968 2.77674995]
 [1.65322205 1.93703521]]",0.0625,1041,500.0
114,"[[0.91984625 1.47291191]
 [1.43119328 1.73783654]
 [2.04660646 2.79169408]
 [1.6749766  1.96331052]]",0.03125,1041,500.0
115,"[[0.92615596 1.48730758]
 [1.43432652 1.74380924]
 [2.05832499 2.80199454]
 [1.68511204 1.97841465]]",0.015625,1041,500.0
116,"[[0.93257358 1.48992852]
 [1.43539893 1.74483785]
 [2.06547482 2.80444407]
 [1.69254852 1.97985321]]",0.0078125,1042,500.0
